Date,Map,Visitor/Neutral,PTS,Home/Neutral,PTS
8/11/15,cobblestone,"Epiphany Bolt",16,RCTIC,4
8/11/15,mirage,"LC Staff",16,"99damage.de Staff",3
8/11/15,cobblestone,"LC Staff",16,"99damage.de Staff",13
8/11/15,cache,"LC Staff",14,"99damage.de Staff",16
8/11/15,cache,mousesports,16,Conquest,11
8/11/15,overpass,Conquest,16,mousesports,8
8/11/15,inferno,mousesports,16,Conquest,11
8/11/15,inferno,Revival,16,"Vega Squadron",14
8/11/15,dust2,"Vega Squadron",8,Revival,16
8/11/15,mirage,Revival,8,"Vega Squadron",16
8/11/15,dust2,"Fnatic Staff",4,"E-frag.net Staff",16
8/11/15,cache,"E-frag.net Staff",16,"Fnatic Staff",3
8/11/15,cobblestone,Virtus.pro,16,Titan,13
8/11/15,train,Titan,10,Virtus.pro,16
8/11/15,mirage,CAZ,16,Revival,8
8/11/15,inferno,CAZ,16,Revival,12
8/11/15,mirage,"SLTV Staff",8,NoobTubers,16
8/11/15,cobblestone,"SLTV Staff",16,NoobTubers,19
8/11/15,cache,NoobTubers,8,"SLTV Staff",16
8/11/15,train,ESC,16,nerdRage,0
8/11/15,dust2,nerdRage,16,ESC,13
8/11/15,mirage,ESC,16,nerdRage,8
8/11/15,dust2,TheMongolz,16,nxl,3
8/11/15,dust2,"Fragbite.se Staff",13,"myXMG Staff",16
8/11/15,cache,"Fragbite.se Staff",11,"myXMG Staff",16
8/11/15,cache,TheMongolz,16,Insidious,2
8/11/15,dust2,Puzzle,6,Secret,16
8/11/15,mirage,Puzzle,7,Secret,16
8/11/15,inferno,Secret,4,Puzzle,16
8/11/15,cache,Secret,11,Puzzle,16
8/11/15,cache,dignitas,13,Conquest,16
8/11/15,train,Conquest,19,dignitas,22
8/11/15,cobblestone,dignitas,9,Conquest,16
7/11/15,inferno,Luminosity,14,Titan,16
7/11/15,cobblestone,Luminosity,16,Titan,11
7/11/15,cache,Titan,16,Luminosity,11
7/11/15,mirage,Virtus.pro,16,dignitas,11
7/11/15,inferno,Virtus.pro,16,dignitas,13
7/11/15,train,dignitas,19,Virtus.pro,17
7/11/15,cobblestone,Liquid,18,Conquest,22
7/11/15,train,Liquid,11,Conquest,16
7/11/15,cache,"Fragbite.se Staff",16,"G2A.com Staff",7
7/11/15,dust2,"Fragbite.se Staff",16,"G2A.com Staff",11
7/11/15,overpass,"Virtus.pro Staff",8,"LC Staff",16
7/11/15,cache,"Virtus.pro Staff",5,"LC Staff",16
7/11/15,inferno,"Vega Squadron",4,Enso,16
7/11/15,overpass,Enso,12,"Vega Squadron",16
7/11/15,dust2,Enso,16,"Vega Squadron",11
7/11/15,mirage,Luminosity,7,mousesports,16
7/11/15,dust2,Luminosity,12,mousesports,16
7/11/15,cobblestone,Titan,16,"Natus Vincere",12
7/11/15,dust2,"Natus Vincere",16,Titan,7
7/11/15,train,Titan,16,"Natus Vincere",13
7/11/15,cache,"Fnatic Staff",16,"EGB.com Staff",4
7/11/15,inferno,"Fnatic Staff",16,"EGB.com Staff",7
7/11/15,dust2,"EGB.com Staff",16,"Fnatic Staff",14
7/11/15,inferno,"StormStudio Staff",8,"E-frag.net Staff",16
7/11/15,cache,"E-frag.net Staff",16,"StormStudio Staff",6
7/11/15,inferno,nEophyte,16,eSuba,9
7/11/15,cache,eSuba,11,nEophyte,16
7/11/15,mirage,eSuba,16,nEophyte,4
7/11/15,cache,"Gamers.com.mt Staff",1,NoobTubers,16
7/11/15,cobblestone,NoobTubers,16,"Gamers.com.mt Staff",2
7/11/15,cache,"FACEIT Staff",4,"SLTV Staff",16
7/11/15,mirage,"SLTV Staff",16,"FACEIT Staff",3
7/11/15,mirage,TyLoo,16,nxl,6
7/11/15,inferno,"99damage.de Staff",16,"PGL Staff",5
7/11/15,cache,"99damage.de Staff",16,"PGL Staff",2
7/11/15,mirage,TheMongolz,8,nxl,16
7/11/15,cache,"Cybersport.pl Staff",10,"myXMG Staff",16
7/11/15,inferno,"myXMG Staff",19,"Cybersport.pl Staff",16
7/11/15,cache,Insidious,14,TyLoo,16
7/11/15,inferno,Virtus.pro,22,Conquest,19
7/11/15,train,Virtus.pro,16,Conquest,7
7/11/15,cobblestone,Liquid,13,dignitas,16
7/11/15,train,dignitas,16,Liquid,8
6/11/15,overpass,"Natus Vincere",7,mousesports,16
6/11/15,mirage,"Natus Vincere",10,mousesports,16
6/11/15,cobblestone,Titan,10,Luminosity,16
6/11/15,cache,Luminosity,16,Titan,6
6/11/15,cobblestone,Reason,16,uX,14
6/11/15,inferno,Reason,16,uX,6
6/11/15,cache,"KoN Denmark",16,"KoN Finland",12
6/11/15,mirage,Revival,19,neXtPlease!,16
6/11/15,cobblestone,neXtPlease!,16,Revival,19
6/11/15,dust2,"KoN Denmark",16,"KoN Sweden",9
6/11/15,cache,"No Problem!",13,Reason,16
6/11/15,mirage,Reason,16,"No Problem!",5
6/11/15,inferno,"No Problem!",16,Reason,14
6/11/15,cache,"KoN Denmark",16,"KoN Norway",5
6/11/15,cache,"Vega Squadron",16,USSR,12
6/11/15,mirage,"Vega Squadron",16,USSR,12
6/11/15,mirage,OnlineBOTS,4,uX,16
6/11/15,overpass,uX,16,OnlineBOTS,9
6/11/15,inferno,nxl,4,Puzzle,16
6/11/15,mirage,Puzzle,19,nxl,17
6/11/15,train,compLexity,16,CLG,3
6/11/15,dust2,CLG,16,SKDC,11
6/11/15,inferno,"Games Academy",19,Denial,17
6/11/15,dust2,"Games Academy",16,Denial,7
6/11/15,cache,Denial,16,"Games Academy",11
6/11/15,cache,CLG,16,Cloud9,12
6/11/15,overpass,SKDC,16,Method,13
6/11/15,cache,Enemy,16,Cloud9,12
6/11/15,inferno,compLexity,16,FolloweSports.com,4
6/11/15,train,FolloweSports.com,16,compLexity,19
6/11/15,dust2,compLexity,3,FolloweSports.com,16
5/11/15,mirage,Publiclir.se,8,Epsilon,16
5/11/15,train,Publiclir.se,10,Epsilon,16
5/11/15,dust2,OnlineBOTS,16,Refuse,12
5/11/15,mirage,KILLERFISH,16,Reason,11
5/11/15,cache,Reason,3,KILLERFISH,16
5/11/15,train,KILLERFISH,8,Reason,16
5/11/15,cache,"No Problem!",19,Refuse,17
5/11/15,mirage,CSGL,10,SK,16
5/11/15,train,SK,14,CSGL,16
5/11/15,cobblestone,Vexed,20,volgare,22
5/11/15,cache,Vexed,16,volgare,13
5/11/15,cache,Lions,8,Epsilon,16
5/11/15,overpass,"Space Soldiers",8,OnlineBOTS,16
5/11/15,mirage,EnVyUs,16,PENTA,13
5/11/15,mirage,"No Problem!",16,"Space Soldiers",5
5/11/15,overpass,Vexed,16,CSGL,2
5/11/15,train,Vexed,16,CSGL,11
5/11/15,cache,E-frag.net,22,G2,19
5/11/15,inferno,G2,13,E-frag.net,16
5/11/15,dust2,G2,16,E-frag.net,13
5/11/15,cache,Epsilon,5,Publiclir.se,16
5/11/15,mirage,Epsilon,8,Publiclir.se,16
5/11/15,cache,Refuse,19,OnlineBOTS,15
5/11/15,overpass,Puzzle,16,MVP.karnal,2
